name,family,category,is_body,is_serif,is_italic,weight
Heebo 400,Heebo,sans-serif,1,0,0,regular
Heebo 500,Heebo,sans-serif,1,0,0,medium
Heebo 700,Heebo,sans-serif,1,0,0,bold
Heebo 800,Heebo,sans-serif,1,0,0,extrabold
Heebo 900,Heebo,sans-serif,1,0,0,black
Henny Penny,Henny Penny,display,0,1,0,regular
Hepta Slab 100,Hepta Slab,serif,1,1,0,thin
Hepta Slab 200,Hepta Slab,serif,1,1,0,extralight
Hepta Slab 300,Hepta Slab,serif,1,1,0,light
Hepta Slab 400,Hepta Slab,serif,1,1,0,regular
Hepta Slab 500,Hepta Slab,serif,1,1,0,medium
Hepta Slab 600,Hepta Slab,serif,1,1,0,semibold
Hepta Slab 700,Hepta Slab,serif,1,1,0,bold
Hepta Slab 800,Hepta Slab,serif,1,1,0,extrabold
Hepta Slab 900,Hepta Slab,serif,1,1,0,black
Herr Von Muellerhoff,Herr Von Muellerhoff,handwriting,1,0,0,regular
Hi Melody,Hi Melody,handwriting,1,0,0,regular
Hind 300,Hind,sans-serif,1,0,0,light
Hind 400,Hind,sans-serif,1,0,0,regular
Hind 500,Hind,sans-serif,1,0,0,medium
Hind 600,Hind,sans-serif,1,0,0,semibold
Hind 700,Hind,sans-serif,1,0,0,bold
Hind Guntur 300,Hind Guntur,sans-serif,1,0,0,light
Hind Guntur 400,Hind Guntur,sans-serif,1,0,0,regular
Hind Guntur 500,Hind Guntur,sans-serif,1,0,0,medium
Hind Guntur 600,Hind Guntur,sans-serif,1,0,0,semibold
Hind Guntur 700,Hind Guntur,sans-serif,1,0,0,bold
Hind Madurai 300,Hind Madurai,sans-serif,1,0,0,light
Hind Madurai 400,Hind Madurai,sans-serif,1,0,0,regular
Hind Madurai 500,Hind Madurai,sans-serif,1,0,0,medium
Hind Madurai 600,Hind Madurai,sans-serif,1,0,0,semibold
Hind Madurai 700,Hind Madurai,sans-serif,1,0,0,bold
Hind Siliguri 300,Hind Siliguri,sans-serif,1,0,0,light
Hind Siliguri 400,Hind Siliguri,sans-serif,1,0,0,regular
Hind Siliguri 500,Hind Siliguri,sans-serif,1,0,0,medium
Hind Siliguri 600,Hind Siliguri,sans-serif,1,0,0,semibold
Hind Siliguri 700,Hind Siliguri,sans-serif,1,0,0,bold
Hind Vadodara 300,Hind Vadodara,sans-serif,1,0,0,light
Hind Vadodara 400,Hind Vadodara,sans-serif,1,0,0,regular
Hind Vadodara 500,Hind Vadodara,sans-serif,1,0,0,medium
Hind Vadodara 600,Hind Vadodara,sans-serif,1,0,0,semibold
Hind Vadodara 700,Hind Vadodara,sans-serif,1,0,0,bold
Holtwood One SC,Holtwood One SC,serif,1,1,0,regular
Homemade Apple,Homemade Apple,handwriting,1,0,0,regular
Homenaje,Homenaje,sans-serif,1,0,0,regular
IBM Plex Mono 100,IBM Plex Mono,monospace,1,1,0,thin
IBM Plex Mono 100 Italic,IBM Plex Mono,monospace,1,1,1,thin
IBM Plex Mono 200,IBM Plex Mono,monospace,1,1,1,extralight
IBM Plex Mono 200 Italic,IBM Plex Mono,monospace,1,1,1,extralight
IBM Plex Mono 300,IBM Plex Mono,monospace,1,1,1,light
IBM Plex Mono 300 Italic,IBM Plex Mono,monospace,1,1,1,light
IBM Plex Mono 400,IBM Plex Mono,monospace,1,1,1,regular
IBM Plex Mono 400 Italic,IBM Plex Mono,monospace,1,1,1,regular
IBM Plex Mono 500,IBM Plex Mono,monospace,1,1,1,medium
IBM Plex Mono 500 Italic,IBM Plex Mono,monospace,1,1,1,medium
IBM Plex Mono 600,IBM Plex Mono,monospace,1,1,1,semibold
IBM Plex Mono 600 Italic,IBM Plex Mono,monospace,1,1,1,semibold
IBM Plex Mono 700,IBM Plex Mono,monospace,1,1,1,bold
IBM Plex Mono 700 Italic,IBM Plex Mono,monospace,1,1,1,bold
IBM Plex Sans 100,IBM Plex Sans,sans-serif,1,0,0,thin
IBM Plex Sans 100 Italic,IBM Plex Sans,sans-serif,1,0,1,thin
IBM Plex Sans 200,IBM Plex Sans,sans-serif,1,0,1,extralight
IBM Plex Sans 200 Italic,IBM Plex Sans,sans-serif,1,0,1,extralight
IBM Plex Sans 300,IBM Plex Sans,sans-serif,1,0,1,light
